ID,text,sexism,gender,hostile,misogyny,misandry
20,"所以任何男權或女權運動(團體)，都應該正名為""平權運動(團體)"" 大家同意嗎",0,0,0,0,0
21,从小很多女性就对我说“你是不是男人？”,0,0,0,0,0
24,等等 都是“男人就应该这样那样的”句式。,0,0,0,0,0
25,所以男权社会是男女合谋的产物，女人的大男子主义不比男人逊色， 女人认为 重活儿 危险活儿 就该男人干、约会男人要买单、男人就该养家 有危险 男人就该替女人挡刀先死等等 这些都是女人的大男子主义，所以想除掉大男子主义 要先从女性做起。,0,0,0,0,0
26,作為男性 我們不是女性的奴隸 我們不是為了滿足女性的金錢和物質慾望而活的人 我們男性有權選擇自己喜歡的女性 而不是男性要去做什麼才能得到女性的愛,0,0,0,0,0
27,男人負擔社會家庭大多數工作了，在女權藍藥丸洗腦下，女人想把家事也丟給男人，開始散播什麼顧家會做家事的才是暖男。,1,0,0,1,0
28,看了以后发现男权运动和女权本质上是一个问题。,0,0,0,0,0
29,不过要实际解决这个问题，还要等待女权进步到真正男女平等的时候，还要等待鉴定技术、法律制度的进步，就像统计问题中的False Negative 和False Positive一样，只有改进技术和方法，才有可能保证有效错误率的下降，否则问题将会此起彼伏。,0,0,0,0,0
30,在学校里，女生因为先天发育较早会更成熟，更努力，男生顽劣的个性却让他们直接成为坏孩子。,0,0,0,0,0
31,青少年时期尤其明显，多数感情中都是男生被玩弄，女生却四处勾搭。,1,0,0,0,0
32,我能理解因為以前的社會以男性為重，所以在社會開放以後，女權團體開始爭取自己的權益這是很令人樂見的，畢竟人人生而平等，不該因為性取向在待遇上有所差異所以在現今社會上，大家都接受平權這種觀念，因此在各行各業上漸漸的都有女性領頭但反觀近代，現在的女權越來越過頭，就像在吃自助餐一樣，只挑自己喜歡的權利來爭取然後用一些無理取鬧的理由來彰顯女權的偉大，這些行為真的令人反感尤其讀法律的都大概了解，現在的法律在男女保障方面，男性是真的比較吃虧的,1,0,0,0,0
33,我大学刚做过一篇调查 ， 毕业后远景工作男性百分之17原因或准备从政 女性百分之2， 男性百分之42想要或已经开始创业自己做老板 女性百分之11， 男性想要做服务或教育行业的百分之8， 女性22。,0,0,0,0,0
34,这根本原因就是男女选择上的问题， 为什么总是喜欢固化到性别偏见上 无法理解,0,0,0,0,0
35,被他人尊重是自己争取的，所谓的男权与女权的争论是毫无意义，人类社会本身就遵循自然法则，终止那些没有意义的事情，强大自己才是该做的事情！,0,0,0,0,0
36,我想請問各位立場調換如果今天是位男老師說女同學的胸部很噁心要求女同學把外套穿上不讓他看到他的性特徵呢?,0,0,0,0,0
37,無論你是男是女 人生尋找伴侶 只不過是一場交易與賭博而已請善用理性與智慧去思考何為感情或者該用更加正確的角度來說:你所認為的感情該是以甚麼形式型態存在又該以什麼樣的方式去獲得呢?,0,0,0,0,0
38,無論你是男權主義還是女權主義 我覺得只要彼此開心 根本不會去在意對方是挺男權還是挺女權討論誰對誰錯 請交給萬能的上帝吧?,0,0,0,0,0
39,社会角色固化和男权社会哪个是根本，哪个是现象其实说不清，关键是我们研究并讨论这个问题的核心是关注男女平权，及把各自的社会角色扮演好，各自固化的社会角色本来就让两方对本来被期待的角色产生厌倦，引发各种问题。,0,0,0,0,0
40,法律的存在是保护更弱势的一方，然而对于各自吃亏的两方，如何保证中立属实难题，激进的女权和男权都是要在不同的场景下发挥作用，而非对于任何事件带入有色滤镜去看。,0,0,0,0,0
41,这样因果循环，如果她们心中的社会成型，那么男人地位也会慢慢开始向着低于女人的位置下滑，又会出现不平衡的情况。,0,0,0,0,0
42,"看完此短片,我認為應該著重在歧視的這角度去看週遭的一切.我們對任何事物都有歧視,男和女,不同種族(膚色及印度的種姓制度,亦或對猶太人的刻板印象等等皆歸納在此),或者對同性戀,對身障人士,對別人從事的職業等等都可以擴大來看.我們雖然天生不一,但都有著希望被別人以同等的態度而對待.不避嫌的說,是!我可能無意間就用了上對下的口吻對來幫忙打掃家裡的清潔婦表現出了優越感.是!我在於猶太人共事後,也真的就開始討厭這個種族.還記得更早之前,去國外遊學我也無法抗拒天生的那種優越感而瞧不起班上來自東南亞國家的同學.但這些都可以透過各種運動,各種知識學習來進昇自己的文化,進昇自己的修養,從而不再有偏見.而就此片來講,我天生就是個工作慾很強勝的女性,但在家中,卻也要扛起照顧一家子的責任,照顧先生,照顧小孩,煮飯洗衣,其實並不是我想做的事,但因為對家的愛,我承接下來了,只因為女性被視為生育養顧的角色.在工作和家庭中我尋找著平衡點.我相信先生可能在外的工作也是有很大的責任,但想想,如果一個人找到了自己的興趣,但又要背負著社會的期許再扮演自己的角色,是不是挺累的一件事呢?",0,0,0,0,0
43,从电影的表述看来，真正的女权运动和男权运动本质上是盟友，都希望一个更加性别平等，甚至是无性别差异的社会。,0,0,0,0,0
44,只有那些极端的希望权利往一方面倾斜，只要权力不要义务的群体才是这两种运动的共同敌人，其中就包括某些伪女权者，当然也包括有厌女症的男性。,0,0,0,0,0
45,K貓講解得很好，超級喜歡( `･ ω ･´ )但這個片子忽略了一個問題：男女天生的生理差異。,0,0,0,0,0
46,為什麼風險大，關於體力方面的工作通常是男性從事？,0,0,0,0,0
47,為何體育方面，許多賽事都將女性和男性以不同標準來評分？,0,0,0,0,0
48,只單單是因為舊社會的男權主義嗎？,0,0,0,0,0
49,這是一個女尊男卑的時代，女性擁有絕對的交配權 特別的是慕強心理是女人的天性 ，女生會不由自主的去跟更高分的男人交配 並且讓許多普通男人成為供養者。,1,0,0,1,0
50,我一直不能理解的一点是，很多学校为了促进男女平等就会降低女生的考试标准，而且大部分人也觉得没毛病，我觉得在文学艺术领域确实ok，但是你们有没有想过在科学，工程领域，一就是一，二就是二，你不能达到标准就应该被淘汰，这和男女没有任何关系。,0,0,0,0,0
51,我说这个不是要表达男生就是擅长理工科或者什么的，我只是想表达我们在追求平权的同时要注重“平”，而不是为了达到某种数字上的平衡而去忽视某些职业或者学科本身应该要求的准入标准。,0,0,0,0,0
52,先了解任何權力運動都是「動態」不是今天爭取了明天就沒事而是事件會不斷出來了討論與抗爭需要不斷產生所以不論男權女權都該持續被討論重點不是男權女權要到甚麼程度重點是那個「討論或抗爭」的行動要持續進行持續為當代的人發聲男權女權本來就在不同立場女權已經發展多年持續發聲，持續討論但男權卻極少討論所以討論與抗爭不足當男性面對權力問題往往被歸類自己的問題缺乏權力與社會面的思考與辯證這是很嚴重的問題,0,0,0,0,0
53,这里说到的战争，家暴是男性面对的问题都还是因为传统角色固化造成的，在这个系统里男人和女人都以不同的方式被歧视或反向歧视。,0,0,0,0,0
54,女性因为生理上较男性比较弱势又背负生育责任所以被优先保护，但又因为生育责任而被限制个人的自由意志与自我价值，限制女性实现社会价值。,0,0,0,0,0
55,而男性因为生理相对的优势，加上几千年的父权制度，使得男性被视为较女性更强势的那一部分，因此也在家庭中被视为更可能暴力的那一方。,1,1,0,0,1
57,不论男女在这个固化的角色中都有牺牲也有受益，在被要求付出的时候不要忘记自己也许享受过这个角色所带来的好处。,0,0,0,0,0
58,那些嘴上说着主义，心里盘算着生意，追求的其实是鸡贼的特权的男女们，不要以为自己可以骗过其他人。,0,0,0,0,0
59,大家也不要见着男／女权就人人喊打，从自己开始反思开始改变，为后代留下一个更平等更宽容的社会才是正理。,0,0,0,0,0
60,只要有人在的地方都有暴力，施暴者是不分男女的，不應對受害者心存歧視或性別偏見。,0,0,0,0,0
61,比如也许女性真的比男性更适应一些情况但是尊重每个人选择。,0,0,0,0,0
62,我们不应该争取男权或女权 我们需要争取的是人权 我们都是人 当你谈论男权或女权的时候已经是性别歧视的第一步了,0,0,0,0,0
63,脏活累活默认都是男性的，哪怕两个性别承担着一样的职责。,1,0,0,0,0
64,身边有的女性在自己的特权得不到满足的时候，最爱说的一句话：你连这个都不做，你还是个男的吗？,0,0,0,0,0
65,現在的父母都很奇怪我就想問他們為什麼要對男生這麼嚴格一直說什麼男生就是要成家立業有自己的事業有自己的家庭我知道哪個爸媽不想要抱孫子難道我們男生只有這種價值嗎只是一個生財機器嗎？,0,0,0,0,0
68,社会传统对两性的刻板印象和分类 才是真正两性的迫害者，女性为自己不能改变社会分工而宣扬权利的同时，男性其实很大一部分也在按照社会分类去做该做，该说的事情,0,0,0,0,0
69,延伸來說非關性別，而是人性的提升性與暴力男人會施加在女人身上也會施加在男人身上同樣的女人也會強姦男人也會強姦女人所以應該是如果讓自己成為一個好人去尊重，照顧身邊的同性，異性年老的年幼的這才是一切解藥…,0,0,0,0,0
70,我认为光看职业比例没有任何意义，男人女人本就是不同的存在，不用去要求比例一样，要争取的是“取得自己能胜任角色的权利”。,0,0,0,0,0
71,举个很简单的例子，你不能要求一个男人去生孩子。,0,0,0,0,0
72,“男性（除了精英外的多数）也是男权社会的牺牲品” 表示支持平权,0,0,0,0,0
73,我没有办法举太多例子（真的有很多），一个女性朋友为了和男人平等，试过站着小便。,0,0,0,0,0
74,"一个男性朋友说自己是feminist，说了一大推他要女权奋斗的话，最后他得到的回答是“you just say this to get sex, so shut the fuck up!"" , 我认为有男性是真的feminists，但很多也像他一样，因为这样能更容易接近女性，更fashion一些，所以我的回答也如此，shut the fuck up！",0,0,0,0,0
75,一个家庭，女人可以不工作，男人一定不能不工作。,1,0,0,0,0
76,"其实一开始都是因为能力然后慢慢潜移默化的被标签成性别~比如,男人天生就比女生有力气...导致世人都认为苦差应该都男生做...这时候如果出现个家庭困苦找不到工,跑去应征工地的女生问题就来了...雇主会请女生吗？",0,0,0,0,0
77,這位有興趣的話可以看看『電擊女孩』這本書，很好的對男權與女權做出了假設與探討,0,0,0,0,0
78,Women empowerment本来的定义是，同等情况下，女童是否有与男童一样，获得受教育的权利（小时候经常听故事讲，农村里家里只能送一个孩子去读书，就只好让男孩子去）。,0,0,0,0,0
79,同等情况下（受教育程度，工作技能，语言技能等）女人和男人是否是有同等获得一个job offer。,0,0,0,0,0
80,苦力活給誰做 女：男生 這裡有隻雞腿給誰吃 給男生好了女：性別歧視,0,0,0,0,0
81,我是男性，我知道目前东西方基本上还是父权社会。,0,0,0,0,0
82,我看了很多研究两性关系的书，基本上在一个两性不平等的社会，男人也会成为受害者。,0,0,0,0,0
83,男权社会会指责男生不够男性化，没有赚钱养家就是无能。,0,0,0,0,0
84,女权主义者就认为，男或女就只是一个刻板印象，谁说男人不可以温柔，或者选择他要的生活方式？,0,0,0,0,0
85,去年还是前年联合国女权主义演说中，有很大一段就是关于男人在传统父权的痛苦，以及呼吁各位要和男人一起加油。,0,0,0,0,0
86,我觉得很多男人想要的，其实就是女权运动所追求的。,0,0,0,0,0
87,（现在还真有人这么说呵呵）然后是性别：女护士比男护士多得多，那护理行业是不是歧视男生？,0,0,0,0,0
88,程序员男生比女生多得多，科技业是不是歧视女性？,0,0,0,0,0
89,男性在家庭中承担了主要的负担，家庭中的主要权利也应当由男性主导，相应的在子女抚养上女性尽的责任更多，抚养子女的方面也应该更注重女性的权利,0,0,0,0,0
90,男生和女生根本就沒有辦法成為公平,0,0,0,0,0
91,最歧視女性的我看是法官吧哇賽，然後阿...不要把社會的不平等像是法律漏洞甚麼的，當成是比較男性和女性誰受到比較多不平等的籌碼|||性別框架+性別刻板印象造成的不平等，不盡然是因為父權社會，lean in(挺身而進)推薦理性的觀眾們去看看,0,0,0,0,0
92,"說男生女生都要分擔家務，另一方面又說男生做家務的能力比女性差說性侵和家暴是女性的傷害，另一方面卻又忽視男性也會遭到性侵和家暴的事實說男生能做的工作女生也能做，另一方面卻沒幾個人鼓勵男生也可以做好護士或好保母說要注重男女之間互相尊重的問題，卻又了同性戀、雙性戀和跨性別者忽視在邊緣外就像最後說的""傾聽不同聲音的勇氣""要是我們忽視其中一方的感受，這就很難做到真正的平等吧",1,0,0,0,0
93,很多歧視女性的人本身也歧視男性，而且男性遭受歧視時，跳出來說話的人會更少。,0,0,0,0,0
94,在女性為受害者的情況下，有很多人跳出來指責人渣；可是在男性為受害者的情況下……,1,0,0,0,0
95,男性受到的歧視不比女性少，而且男性之中覺醒的更少，事實上，很多歧視男性的人就是男性，而且這部分人以男性的刻板印象為榮。,1,1,0,0,0
96,例如：男性就是要陽剛，娘娘腔要被罵；男性就是要勇敢，害怕蟑螂或打雷閃電要被罵……,0,0,0,0,0
97,男权和女权在今后的发展中一定会渐渐平等,0,0,0,0,0
98,而且上文中提到女权主义，比如认为“男性”是一切暴力的根源，本来就是女权主义者中比较激进的流派。,0,0,0,0,0
99,同时女性主义者也是认同“男性”是被社会性别所束缚的，上文中所提到的那些观点其实在女性主义中也是老生常谈。,0,0,0,0,0
100,现在主要是，这些所谓的“男权”主义在某种意义上被厌女者所利用，并且更加加深了男女二元对立的情绪，很多男性在在点赞的同时往往忽视了性别视角，只是一味的说“女人爬到了男人的头上”这种话，这也就是为什么很多女性主义者反感这种言论的原因。,0,0,0,0,0
101,还有，在现在的女权运动中，是否应该积极的展开男女间的对话，是否应该有“男性女权主义者”本来就是有争议的话题。,0,0,0,0,0
103,男權女權的 其實我很無感 教育普及 男女平權早已深入民心 不想承擔不想被騙就不要結婚或陷入粉紅圈套 時時警惕 天上掉下的禮物很貴,0,0,0,0,0
104,这些脸面上挂着女权或者男权主义鼓吹者的人，去探一探他们的票仓和收入来源就明明了了的。,0,0,0,0,0
105,堅持自己男權的權益，越提倡性別平等，反而越來越多XX的女性濫用女權，產生極端的理念跟想法,0,0,0,0,0
106,我觉得不应该把disposable翻译为可抛弃的 它就是形容男人是一次性的劳工 无论是战争中 还是生产中,0,0,0,0,0
107,而我周围也有男生被女友打到受伤的例子。,0,0,0,0,0
108,而且都是掩盖在开玩笑， 或者说是男性，就应该被女生打的状况下。,1,0,0,0,0
110,天啊 我都不知道男性在現代社會竟然這麼困難,0,0,0,0,0
111,西方国家法律不应该过度保护女性，女的打男的男的还手就是正当防卫，不能说女性是弱者就能过度保护。,0,0,0,0,0
113,所以所谓的男女平等不代表女性就可以无法无天。,0,0,0,0,0
114,法律可以尽量减少家暴，但法律面前人人平等，男女更是如此。,0,0,0,0,0
115,如果受到怀疑，就会以右派或大男子主义，或歧视的JERK论处。,0,0,0,0,0
116,一句话捅了马蜂窝，最可笑的一句话“女人什么地方比不上男人”， 我回答没有可比性，女人有的男人永远得不到（包括变性人），而男人有的女人也同样永远得不到（瞬间爆发力等等）。,0,0,0,0,0
117,同理，艺术体操，花样滑冰／游泳 男人再怎么练也不成。,0,0,0,0,0
118,而正是这种不同才形成了男女之间的相互吸引和互补。,0,0,0,0,0
119,总结： 男人不高过女人，女人也不高过男人； 同性恋不高过异性恋，异性恋也不高过同性恋。,0,0,0,0,0
120,等战争爆发的时候就知道到底是男性主导还是女性。,0,0,0,0,0
121,武则天是哪来的，这种固化不光体现在男人身上，女人也一样。,0,0,0,0,0
122,不说古代男女差距，就说现代吧，男女平等前提是实现女权？,0,0,0,0,0
123,说真的什么男权女权的，权利什么的见鬼去吧，娶个好媳妇，嫁个好丈夫不比什么都强。,0,0,0,0,0
124,什么男权，女权的，在我眼里只不过是笑话，这个设定根本就没办法固定，根本就不会有答案的，非得要去追出这个答案来，这个问题是无解的。,0,0,0,0,0
125,古代为何是男权，因为男人出去打仗啊，女多男少，男人打一仗就要死一片，也导致一夫多妻，现在呢？,0,0,0,0,0
126,偏離了這片是說「男人才是最大的受害者」，而不是「男人也是受害者」。,0,0,0,0,0
127,据统计搬运工 女性比例不足1%建议补充49%的女性工作者以达到男女平等,0,0,0,0,0
129,首先，普遍上都是男主外，女主内，当然现在也有家庭主夫。,1,0,0,0,0
130,可是，自古以来大部分男人都是在外挣钱养家。,1,0,0,0,0
131,古时候，强大的男性才会被女性喜欢并交配。,0,0,0,0,0
132,我觉得这习性可能已经根深蒂固地埋在男性的基因里。,1,1,0,0,0
133,所以，现在女强人比男强人少很正常不是吗？,1,0,0,0,0
134,男人女人本来就有差别，擅长于，不擅长于，特有的能力，思维方式偏向，这些地方都有不同的地方。,0,0,0,0,0
135,例如要求男女都能够当上市集团CEO你还看不出来不公平在哪里，但如果换成要求男女都能够进行250磅举重呢，身体和思维方式明明就有着不同的优势所在，却要求一视同仁，另一方达到目标需要消耗更大的努力不算，达到后是否又能带来更高的效率呢？,0,0,0,0,0
136,但男女永远不能平等，这个平等不在于谁高谁低，而是应当各自寻找各自属于的领域来发挥自己的能力，这才不会对不起自己的努力。,0,0,0,0,0
137,圣经里面写的清清楚楚男性该干嘛女性该干嘛，然后依照这个理论，美国现在是父权社会。,0,0,0,0,0
138,一个真正的女权主义者必然同时是男权主义者。,0,0,0,0,0
139,所谓女权主义男权主义本身就是一个被曲解或者错误的概念。,0,0,0,0,0
140,真正的平等，必然不是男权或者女权，而是人权。,0,0,0,0,0
141,我们都首先是人，其次才是男人或者女人。,0,0,0,0,0
142,所有人都有权利过成ta想要的样子，而不是被束缚在性别的固有印象里，女人可以赚钱养家，男人可以在家带孩子，只要他们喜欢这样。,0,0,0,0,0
143,女生被性别印象困住，男生也一样，很多男生并不想承担这么多的责任，但是如果男人看上去不够强大，就会被鄙视也是一种很明显的不公平。,0,0,0,0,0
144,"其實男權或女權,雙方都沒有錯,彼此都是在強調屬於自己的性別價值...但話說回來, 人類歷史上,有任何一種性別可以捨棄另一性別之後,進而單獨 (獨性)生活嗎...?",0,0,0,0,0
145,说了那么多，还是平等就好，不要什么男权女权的。,0,0,0,0,0
146,我本身在重男轻女的环境长大，长辈不允许我出色过男生，叫我等结婚生子当主妇就好，不用读书。,0,0,0,0,0
147,不管是男权还是女权，这两种都是不好的。,0,0,0,0,0
148,男权社会欺压女性，不给女性身份地位。,0,0,0,0,0
149,女权歇斯底里，自以为自己是受害者，一直说男人各种不好。,0,0,0,0,0
150,男女之间荷尔蒙分泌不一样，雄性荷尔蒙和更高的骨骼密度让男人更强壮而且更高大，这样在暴力行为面前大多数女性徒手根本和男性无法抗衡；至于做爱生孩子的问题上，女性连堕胎的权利都要声讨，无法控制自己的身体，在非法堕胎的条件下无数女性被伤害被谋杀，那男性的所谓“不能尽父亲的责任”实在是不足为题。,1,1,0,0,0
151,其三，男女在兴趣和就业方面有差异而且趋势化，e.g. 男性很多做IT做危险体力劳动工作等等，那这种职业本身是高危险高死亡率，现在摆出数据来讲男女不平等，也是太牵强了吧。,0,0,0,0,0
152,我之前一直以为我并不是女权主义者，因我看到男性对解放女性做出的科技上的贡献，洗衣机洗碗机等等；而我现在认为对于男女平等机会而非平等输出结果的诉求和争取，我其实一直都是女权主义者。,0,0,0,0,0
153,性别是固定的，女人和男人的思维方式和性冲动都不一样，人类最大的性状差异不是肤色，是性别。,0,0,0,0,0
154,我从来都认为男权社会的受害者不光是女性，还有男性，既然大家都同意男权社会不好为什么我们不干脆推翻它？,0,0,0,0,0
155,因为大多数男性还是男权社会的受益者，并不是每个男性都会在战争中牺牲或者面临灾难前让妇女儿童先走的事，而大部分男性都非常享受男权社会赋予他们的特权，比如更少的家务劳动，更优越的就业机会，更多的政治权利这些，女权运动再怎么折腾也动不了男权社会一根毫毛，因为无论是政治，军事还是经济都不站在女性这边,1,1,0,0,0
157,目前大多人男女平等就是出事了男的垫底 有好处当然是一起分啦 或者女性多拿点 反正你是男的 就算离婚也要你养我,1,0,0,0,0
158,看不下去了看到一半就，就想问女权不是在哪个体说事而是整个女性群体普遍受到各个方面各个领域的歧视，所以请所谓男权不要拿个体暴力行为以及人与人关系的暴力和恶劣来对应到男权这个群体性质的概念里，这就好像很久以前黑人说要平权然而白人说我的一个白人大表哥曾经被一个黑人殴打过所以我要白人平权。,0,0,0,0,0
159,有些男人认为如果女人提出“重活儿危险活儿就该男人干、约会男人要买单、男人就该养家、有危险男人就该替女人挡刀先死”就等于是支持大男子主义，就是对男性不公了，那我想问问，如果重活儿男女平分、吃饭男女aa、男女共同工作养家、有危险男人不用保护女人，是不是就是男性想要的平等待遇了？,1,1,0,0,0
160,既然女性已经是负责怀孕生娃的部分了，男性如果不承担起养家保家的责任，他还能干点啥？,1,0,0,0,0
161,男权就是维护男性权益的意思 是一种平权的概念 不是要求特权 不要因为一些人就污名化整个群体 现在确实还存在很多歧视男性的现象 不仅是对女性也有对男性的 平权这个概念是维护双方利益的 不要一杆子打死了[OK],0,0,0,0,0
162,平等才对 天天喊着woman power的其实也是想引起男女不平等,0,0,0,0,0
163,男性女性在演化的過程本身就是不同的分工，但是因為人類會為了競爭而競爭，更容易發生戰爭，所以本身不擅長爭鬥的女性相比之下就落了下風。,0,0,0,0,0
164,還有根據科學研究男性受挫所造成的反彈更為強烈，所以男性更容易向上攀升，不過女性那麼少也還是有男權社會引響，就像氣候變暖是地球正在朝間冰期轉變，但是人類的大肆破壞加劇了環境的變化，必然與偶然結合的後果就很嚴重了。,0,0,0,0,0
165,就是有那些自助餐 才會有男權運動,0,0,0,0,0
166,男权，女权都片面，争取人权才是共同目标,0,0,0,0,0
167,男人与女人，穷人与富人，还有种族与种族,0,0,0,0,0
168,男性血紅色素、肌肉和脂肪比例普遍上都比女性天生高，也是為什麼男性從事生產工作比女性天生容易；當然要平權選擇男的當家庭主夫，女的出外賺錢也可以。,0,0,0,0,0
169,按照社會上普遍的同職業女性薪金比男性低，結果往往是苦了女性和家庭。,0,0,0,0,0
170,我個人不認為發生在美國數例偏激的女權過頭例子可以用來強化亞洲男性之上的思維。,0,0,0,0,0
171,我们面对的是父权社会，在这之下男生女生都受到了压制,0,0,0,0,0
172,女权要男女平等，可是结婚都要男生出钱买车买房，而且还要男生养女生，说好的男女平等呢？,1,0,0,0,0
173,一旦约会AA女生就会说男生小气，what?,1,0,0,0,0
174,其實男權女權加起來就是男女平等。,0,0,0,0,0
175,其实这个标题就是在歧视男性啊，难道男人不应该有男权,0,0,0,0,0
176,其实女权的终极追求就是男女平权。,0,0,0,0,0
177,仇男的就不叫女权叫婊砸，女权是为了性别平等而存在的，所以我觉得在叫自己女权之前也要接受男人也是男权社会的受害者这个事实,0,0,0,0,0
178,所有男人团结起来女人自然就怂了，、,0,0,0,0,0
179,抛开男权女权，中国的女人地位在全球都是很高的了，而且中国女人无论在家庭还是一部分工作中真的都很能干,0,0,0,0,0
180,男权女权并不矛盾啊，都是在呼吁两性平权。,0,0,0,0,0
181,特别讽刺的是，所谓的女权往往只有在相对发达的国家有，但明明国家大都是男人打下来的，别说平权，就是不平等又怎么样？,1,0,0,0,0
182,有些人拿财产留给男的说事，说到底还是他妈为了利益嘛说得那么神圣，吃相真他妈难看，所有好事都落着你最好了，拿上一代的人的做法强加在我们身上？,0,0,0,0,0
183,男性的生育權只是在是否發生性行為和是否避孕？,0,0,0,0,0
184,所以男人完全可以主導這方面的選擇是嗎？,0,0,0,0,0
186,"我在猜：假如此篇電影是女權運動為主題, 那麼電影解說時間篇幅不會短於9分鐘, 舉出的例子至少是該篇2倍以上, 大男人主義的代名詞為沙文豬, 而大女人主義呢?",0,0,0,0,0
187,"自古以來男女順應天生生理特質發展出男主外、女主內社會生存模式被工業革命打破, 女人也得外出養家活口, 造就女權意識高漲,搞得現今世道男不男, 女不女, 女權至上的偉大國王們, 假如妳們的兒子長大後也被女性主義壓著打, 試問當母親的妳們內心感受如何?",0,0,0,0,0
188,"這些女權主義者們不就是想看到怎麼將不公平、不利於女性身上的歧視對待, 加諸在男性身上, 那她們跟沙文豬有什麼不同?",0,0,0,0,0
189,女权分为三个等级:1绝对性平等2实质性平等3保护性平等.男权没有划分,0,0,0,0,0
190,女權主義從來不等於反男性，相反的，女權主義一直致力於打破性別刻板定義的束縛影片中所謂男權主義，呃，他們的主張恰恰就是女權主義的核心，男生不應該被社會固定要做甚麼，男生也有放聲大哭不被嘲笑的權利，就像女生不應該結婚就要負責煮飯洗衣一樣你看了這部影片，卻對女權主義一無所知，非常的可惜,0,0,0,0,0
191,真正的紅藥丸壓根就不干男權的事；這男權記錄片只是盜用紅藥丸名詞。,0,0,0,0,0
192,男女基於生理構造差異各有宿命與責任、當事人可以無視甚至逃避專挑自己喜歡的部分去標榜、但雙方都沒資格要求社會替自己買單。,0,0,0,0,0
193,女权不满女性被物化矮化，不喜欢被男性品论外表，但同时女人对男人却评论不断，从男人的身高到赚钱能力都评论，甚至唾弃耻笑男贫弱者。,1,0,0,0,0
196,很多数据显示，家暴问题男性受害者和女性数目相当，但女权团体只施压政府保护女性，对男性受害者不理，甚至排除在援助之外，这种行为叫自私。,0,0,0,0,0
197,社会上，很多女人婚前要传统权益，要求男方有房有车有钱，要男人约会付钱，婚后却要现代地位，不生育不煮饭不扫地，男人赚钱要养家，而女人赚钱拿来美容旅行，离婚时又来当弱者，要分家产要抢孩子要房要钱。,1,0,0,1,0
198,简单说，女权主义就是所有权力和好处归女性，而义务和责任全归男性，但又不满男性因为牺牲和付出所以地位被提升，女性又想和男性平起平坐。,0,0,0,0,0
199,老娘关你少男少女 老娘还是同性恋呢！,0,0,0,0,0
200,婚姻给男性女性带来的都是束缚。,0,0,0,0,0
201,男性为了家庭奋斗一辈子，女性为了家庭不得不放弃工作机会，一生被“绑”在家庭中。,0,0,0,0,0
202,好一個披著女權的「「男」權」,0,0,0,0,0
